CICLO,TRIMESTRE,ID_RAMO,DESC_RAMO,ACRON_DEP_ENT,DESC_DEP_ENT,MODALIDAD_PP ,DESC_PP,INST_COORD,ANIO_RECOMENDACION,ORIGEN_RECOMENDACION,ID_ASM,DESC_ASM,GASTO_FEDERALIZADO,TIPO_ASM,TEMA_ASM,TIPO_MEJORA,PRIORIDAD,AVANCE_ASM,FECHA_REPORTE,EVIDENCIA
2014-2015,01T2016,11,Educación Pública,SEP,Secretaría de Educación Pública,E032,Diseño y aplicación de políticas de equidad de género,CONEVAL,2014,Otros Informes Externos,11e032cie14_01,"El Programa carece de una metodología para la cuantificación de las poblaciones potencial, objetivo y atendida.",Si,Específico,Operación,Adiciona,Media,100,31/03/2016,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/ASM/01t_2016/11e032cie14_01.rar
2014-2015,03T2015,11,Educación Pública,CONADE,Comisión Nacional de Cultura Física y Deporte,S204,Cultura Física,CONEVAL,2014,Otros Informes Externos,11s204cie14_01,"El diagnóstico no caracteriza las tres poblaciones (potencial, objetivo y atendida), sólo la población objetivo se encuentra definida en las ROP 2013.",Si,Específico,Coberturas,Adiciona,Media,100,30/09/2015,N/D
2014-2015,03T2015,11,Educación Pública,CONADE,Comisión Nacional de Cultura Física y Deporte,S206,Sistema Mexicano del Deporte de Alto Rendimiento,CONEVAL,2014,Otros Informes Externos,11s206cie14_01,"Hay diferencias en la definición de población objetivo plasmada en algunos documentos del programa.Se observa ambigüedad en la definición y cuantificación de las poblaciones potencial y objetivo, aspectos que han sido reiterados en diferentes evaluaciones desde 2009. Por ende, es difícil observar la eficacia de la evolución de la cobertura",Si,Institucional,Diseño,Adiciona,Media,100,30/09/2015,N/D
2014-2015,03T2015,11,Educación Pública,CONADE,Comisión Nacional de Cultura Física y Deporte,S206,Sistema Mexicano del Deporte de Alto Rendimiento,CONEVAL,2014,Otros Informes Externos,11s206cie14_02,"Los indicadores de fin y propósito presentan cambios, son muy parecidos y poco representativos para medir objetivos diferentes. Se observa en la MIR 2014, que los nuevos indicadores no incluyen la medición de los resultados en cuanto a campeonatos clave como los mundiales, cuyo monitoreo se realiza año con año a diferencia de los juegos olímpicos, los cuales, se propusieron para el programa institucional de cultura física y deporte.",Si,Específico,Indicadores,Adiciona,Baja,100,30/09/2015,N/D
2013-2014,03T2015,11,Educación Pública,CONADE,Comisión Nacional de Cultura Física y Deporte,S206,Sistema Mexicano del Deporte de Alto Rendimiento,CONEVAL,2012,Evaluación Específica de Desempeño,11s206ped12_01,Documentar la metodología del SIMEDAR para cuantificar su población potencial y objetivo o en su defecto incluir en el estudio multidisciplinario su estimación.,Si,Institucional,Diseño,Adiciona,Media,100,30/09/2015,N/D
2014-2015,03T2015,11,Educación Pública,CONACULTA,Consejo Nacional para la Cultura y las Artes,S208,Programa de Apoyo a Comunidades para Restauración de Monumentos y Bienes Artísticos de Propiedad Federal (FOREMOBA),CONEVAL,2014,Otros Informes Externos,11s208cie14_01,Una debilidad del programa estriba en el escaso personal operativo con que cuenta para la revisión y ordenamiento de los expedientes de los grupos culturales que solicitan el apoyo del programa.,No,Específico,Operación,Adiciona,Baja,100,30/09/2015,N/D
2014-2015,03T2015,11,Educación Pública,CONACULTA,Consejo Nacional para la Cultura y las Artes,S209,Programa de Apoyo a la Infraestructura Cultural de los Estados (PAICE),CONEVAL,2014,Otros Informes Externos,11s209cie14_01,El programa adolece de personal operativo suficiente para la revisión de documentación e integración de expedientes de los proyectos a dictaminar.,No,Específico,Operación,Adiciona,Media,100,30/09/2015,N/D
2013-2014,03T2015,12,Salud,CNPSS,Comisión Nacional de Protección Social en Salud,U005,Seguro Popular,CONEVAL,2013,Evaluación Específica de Desempeño,12u005ped13_01,Indicadores de gestión para el programa,No,Específico,Indicadores,Adiciona,Alta,100,30/09/2015,N/D
2013-2014,01T2016,14,Trabajo y Previsión Social,STPS,Secretaría del Trabajo y Previsión Social,U002,Programa de Apoyo para la Productividad,CONEVAL,2012,Evaluación Específica de Desempeño,14u002ped12_01,"Difundir con mayor intensidad el Programa para llegar a más trabajadores. Se establecerán mecanismos de coordinación con la Unidad de Delegaciones Federales del Trabajo (UDFT) para que en las entidades federativas se difunda y opere el PAP, sin embargo, la ampliación de la cobertura de atención, no sólo depende de ese factor, sino de otros más como la asignación presupuestal del programa.",No,Institucional,Coberturas,Adiciona,Alta,100,31/03/2016,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/ASM/01t_2016/14u002ped12_01.rar
2014-2015,03T2015,15,"Desarrollo Agrario, Territorial y Urbano",SEDATU,"Secretaría de Desarrollo Agrario, Territorial y Urbano",U003,Programa de modernización de los registros públicos de la propiedad y catastros,CONEVAL,2013,Evaluación Específica,15u003ped13_01,"El Programa de Modernización de los Registros Públicos de la Propiedad y los  Catastros cuenta con acciones que permiten sensibilizar a los gobiernos de los Estados, a fin de que apoyen la realización de los proyectos. ",No,Específico,Operación,Adiciona,Media,100,30/09/2015,N/D
2014-2015,03T2015,15,"Desarrollo Agrario, Territorial y Urbano",SEDATU,"Secretaría de Desarrollo Agrario, Territorial y Urbano",U003,Programa de modernización de los registros públicos de la propiedad y catastros,CONEVAL,2013,Evaluación Específica de Desempeño,15u003ped13_02,"El Programa de Modernización de los Registros Públicos de la Propiedad y los Catastros busca Impulsar acciones  que permitan una mejor operación del Programa, incorporando herramientas que permitan contar con información en forma más eficiente.",No,Específico,Operación,Adiciona,Media,100,30/09/2015,N/D
2014-2015,03T2015,15,"Desarrollo Agrario, Territorial y Urbano",SEDATU,"Secretaría de Desarrollo Agrario, Territorial y Urbano",U003,Programa de modernización de los registros públicos de la propiedad y catastros,CONEVAL,2013,Evaluación Específica de Desempeño,15u003ped13_03,"El Programa de Modernización de los Registros Públicos de la Propiedad y los Catastros busca la adecuada implementación del Programa, para realizar al modernización de los Registros Públicos de la Propiedad y los Catastros para contar una operación óptima de los mismos. ",No,Específico,Operación,Adiciona,Media,100,30/09/2015,N/D
2014-2015,01T2016,16,Medio Ambiente y Recursos Naturales,CONAFOR,Comisión Nacional Forestal,E014,Programa Nacional Forestal-Protección Forestal,CONEVAL,2014,Evaluación Complementaria,16e014c0014_04,"Incrementar el conocimiento en temas de diagnóstico, monitoreo y tratamientos fitosanitarios. (EC-PSF)",No,Específico,Diseño; Operación; Resultado; Productos; Planeación,Adiciona,Alta,100,31/03/2016,N/D
2012-2013,01T2016,16,Medio Ambiente y Recursos Naturales,CONAFOR,Comisión Nacional Forestal,E014,ProÁrbol.-Protección Forestal,CONEVAL,2012,Evaluación Específica,16e014ped12-01,"Fortalecer los mecanismos de coordinación interna (entre los distintos operadores de los programas, así como con áreas administrativas), y externa (entre las distintas instituciones de los tres órdenes de gobierno, vinculadas con el sector), tales mecanismos deberán tener carácter de vinculantes y factibles de llevarse a cabo.",No,Institucional,Diseño; Resultado; Planeación,Adiciona,Alta,100,31/03/2016,N/D
2012-2013,01T2016,16,Medio Ambiente y Recursos Naturales,CONAGUA,Comisión Nacional del Agua,S074,"Programa de Agua Potable, Alcantarillado y Saneamiento en Zonas Urbanas",CONEVAL,2012,Evaluación de Consistencia y Resultados,16s074pcr12_01,Hacer el Sistema de Información de Servicios Básicos del Agua (SISBA) de acceso público a través de internet,Si,Institucional,Ejecución,Adiciona,Media,100,31/03/2016,N/D
2012-2013,01T2016,16,Medio Ambiente y Recursos Naturales,CONAFOR,Comisión Nacional Forestal,S219,ProÁrbol.-Pago por Servicios Ambientales,CONEVAL,2012,Evaluación Complementaria,16s219c0013_02,"Coordinarse con las áreas responsables en las otras dependencias para vincular los sistemas de información de CONAFOR, PROFEPA Y SEMARNAT para dar seguimiento a los programas apoyados, los autorizados, el trámite de documentación para el transporte de materias primas, entre otras cosas. (S044 EC)",Si,Específico,Operación; Resultado; Planeación,Adiciona,Alta,100,31/03/2016,N/D
2014-2015,03T2015,19,Aportaciones a Seguridad Social,IMSS,Instituto Mexicano del Seguro Social,S038,Programa IMSS-PROSPERA,CONEVAL,2013,Otros Informes Externos,19s038cie13_02,Incrementar el número de indicadores de calidad,No,Institucional,Indicadores,Adiciona,Media,100,30/09/2015,N/D
2013-2014,03T2015,19,Aportaciones a Seguridad Social,IMSS,Instituto Mexicano del Seguro Social,S038,Programa IMSS-PROSPERA,CONEVAL,2012,Evaluación Específica de Desempeño,19s038ped12_01,Vinculación de los Centros de Atención Rural al Adolescente con la Acción Comunitaria,No,Específico,Operación,Adiciona,Media,100,30/09/2015,N/D
2013-2014,01T2016,19,Aportaciones a Seguridad Social,IMSS,Instituto Mexicano del Seguro Social,S038,Programa IMSS-PROSPERA,CONEVAL,2013,Evaluación Específica de Desempeño,19s038ped13_01,Diseñar un mecanismo a través de encuestas rápidas que validen la calidad de los servicios otorgados así como las capacidades adquiridas y la aplicación del conocimiento en el hogar.,No,Específico,Evaluación,Adiciona,Media,100,31/03/2016,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/ASM/01t_2016/19s038ped13_01.rar
2014-2015,01T2016,20,Desarrollo Social,IMJUVE,Instituto Mexicano de la Juventud,E016,Generación y articulación de políticas públicas integrales de juventud,CONEVAL,2014,Otros Informes Externos,20e016cie14_03,Elaborar un documento que contenga la metodología y los instrumentos para medir el grado de satisfacción de la población atendida por el Programa E016,No,Institucional,Evaluación,Adiciona,Media,100,31/03/2016,N/D
2014-2015,03T2015,20,Desarrollo Social,IMJUVE,Instituto Mexicano de la Juventud,E016,Generación y articulación de políticas públicas integrales de juventud,CONEVAL,2014,Otros Informes Externos,20e016cie14_05,Elaborar un padrón de beneficiarios que incluya las características de los beneficiarios y el tipo de apoyo otorgado con base en los Lineamientos para la integración de padrones de beneficiarios de la Sedesol.,No,Institucional,Operación,Adiciona,Media,100,30/09/2015,N/D
2014-2015,03T2015,20,Desarrollo Social,LICONSA,"Liconsa, S.A. de C.V.",S052,"Programa de Abasto Social de Leche a cargo de Liconsa, S.A. de C.V.",CONEVAL,2014,Otros Informes Externos,20s052cie14_06,"Liconsa deberá gestionar ante DICONSA, una propuesta de mecanismo para resolver los problemas de entrega de leche ",No,Específico,Operación,Adiciona,Alta,100,30/09/2015,N/D
2014-2015,01T2016,20,Desarrollo Social,DICONSA,"Diconsa, S.A. de C.V.",S053,"Programa de Abasto Rural a cargo de Diconsa, S.A. de C.V. (DICONSA)",CONEVAL,2014,Otros Informes Externos,20s053cie14_01,Ajuste del tamaño de muestra el levantamiento en campo de la información que sirve para cálcular el margen de ahorro de la canasta básica Diconsa.,No,Específico,Operación,Adiciona,Media,100,31/03/2016,N/D
2014-2015,01T2016,20,Desarrollo Social,DICONSA,"Diconsa, S.A. de C.V.",S053,"Programa de Abasto Rural a cargo de Diconsa, S.A. de C.V. (DICONSA)",CONEVAL,2014,Otros Informes Externos,20s053cie14_03,"Desarrollar y fortalecer una estrategia de capacitación, considerando la alta rotación de los supervisores operativos de Diconsa, la cual podría ser en plataforma Moodle, conteniendo videos para que los supervisores los revisen en caso de dudas sobre su desempeño.     ",No,Específico,Operación,Adiciona,Media,100,31/03/2016,N/D
2014-2015,01T2016,20,Desarrollo Social,DICONSA,"Diconsa, S.A. de C.V.",S053,"Programa de Abasto Rural a cargo de Diconsa, S.A. de C.V. (DICONSA)",CONEVAL,2014,Otros Informes Externos,20s053cie14_07,Estudio en zonas rurales y urbanas de  los radios de acción de Diconsa/PAR y caracterización de las personas que compran en las tiendas. ,No,Específico,Coberturas,Adiciona,Media,100,31/03/2016,N/D
2014-2015,03T2015,20,Desarrollo Social,DICONSA,"Diconsa, S.A. de C.V.",S053,"Programa de Abasto Rural a cargo de Diconsa, S.A. de C.V. (DICONSA)",CONEVAL,2014,Otros Informes Externos,20s053cie14_09,"Reforzar la capacitación sobre la metodología para el cálculo del margen de ahorro, para de esta forma medir el grado de conocimiento teórico que tienen sobre la misma.",No,Específico,Operación,Adiciona,Media,100,30/09/2015,N/D
2012-2013,01T2016,20,Desarrollo Social,DICONSA,"Diconsa, S.A. de C.V.",S053,"Programa de Abasto Rural a cargo de Diconsa, S.A. de C.V. (DICONSA)",CONEVAL,2012,Evaluación de Consistencia y Resultados,20s053pcr12_02,Mejorar la sistematización de la información a través del Sistema Informático de Almacenes (SIAC),No,Específico,Operación; Evaluación,Adiciona,Media,100,31/03/2016,N/D
2012-2013,03T2015,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S054,Programa de Opciones Productivas,CONEVAL,2012,Evaluación Complementaria,20s054c0012_01,Documentar los criterios y métodos de cálculo utilizados en la definición de metas de los indicadores considerados en la MIR del Programa.,No,Institucional,Indicadores,Adiciona,Alta,100,30/09/2015,N/D
2014-2015,03T2015,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S054,Programa de Opciones Productivas,CONEVAL,2014,Otros Informes Externos,20s054cie14_01,Contar con instrumentos que permitan conocer la percepción de los beneficiarios sobre la mejora en sus condiciones de vida al recibir el apoyo del Programa.,No,Institucional,Operación,Adiciona,Media,100,30/09/2015,N/D
2013-2014,03T2015,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S054,Programa de Opciones Productivas,CONEVAL,2013,Evaluación de Procesos,20s054ppr13_01,"Actualizar el Manual de Organización y Procedimientos del POP, enfatizando el análisis de los procesos de planeación, difusión,  solicitud de apoyos  y el de selección de proyectos, así como la elaboración de protocolos de operación en las Delegaciones.",No,Específico,Planeación,Adiciona,Alta,100,30/09/2015,N/D
2012-2013,01T2016,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S061,Programa 3 x 1 para Migrantes,CONEVAL,2012,Evaluación Complementaria,20s061c0012_01,"Establecer alianzas con organismos públicos de fomento empresarial y/o instituciones educativas para brindar la capacitación a los responsables de los Proyectos Productivos Individuales (PPI) en las áreas de administración, finanzas, mercadotecnia y procesos, así como en la mejora y aplicación del Plan de Negocios",No,Específico,Operación,Adiciona,Alta,100,31/03/2016,N/D
2014-2015,01T2016,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S061,Programa 3 x 1 para Migrantes,CONEVAL,2014,Evaluación de Procesos,20s061ppr14_01,"Agilizar la implementación del SIG-P3x1, que permitirá a los clubes de migrantes y a sus miembros, dar seguimiento puntual a sus propuestas de proyectos a todo lo largo del proceso, desde la recepción, la validación, la dictaminación, la ejecución y la entrega de obras o apoyos. ",No,Específico,Operación,Adiciona,Alta,100,31/03/2016,N/D
2014-2015,01T2016,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S061,Programa 3 x 1 para Migrantes,CONEVAL,2014,Evaluación de Procesos,20s061ppr14_04,Homogeneizar en ROP el procedimiento por el que se valida a los integrantes de los clubes de migrantes en el proceso de Toma de Nota.,No,Institucional,Operación,Adiciona,Alta,100,31/03/2016,N/D
2014-2015,03T2015,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S061,Programa 3 x 1 para Migrantes,CONEVAL,2014,Evaluación de Procesos,20s061ppr14_05,"Incorporar en la página de internet del Programa una sección que permita a los migrantes orientar sus proyectos a abatir las principales carencias de sus localidades, así como información para entender mejor los conceptos de carencias sociales. ",No,Específico,Otros,Adiciona,Media,100,30/09/2015,N/D
2014-2015,01T2016,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S061,Programa 3 x 1 para Migrantes,CONEVAL,2014,Evaluación de Procesos,20s061ppr14_06,"Incorporar en las ROP 2016 del Programa un párrafo en el que se mencione que los migrantes pueden solicitar información referente a sus proyectos, así como los argumentos por los que éstos fueron apoyados o rechazados.",No,Institucional,Operación,Adiciona,Alta,100,31/03/2016,N/D
2013-2014,01T2016,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S065,Programa de Atención a Jornaleros Agrícolas,CONEVAL,2013,Evaluación Específica de Desempeño,20s065ped13_01,Ampliar la cobertura de apoyos alimenticios a la población infantil.,No,Específico,Coberturas,Adiciona,Alta,100,31/03/2016,N/D
2014-2015,01T2016,20,Desarrollo Social,INDESOL,Instituto Nacional de Desarrollo Social,S070,Programa de Coinversión Social,CONEVAL,2014,Otros Informes Externos,20s070cie14_01,"Elaborar un Documento de Planeación Estratégica que contenga  la estrategia de cobertura del PCS con metas de corto, mediano y largo plazo.",No,Institucional,Planeación,Adiciona,Alta,100,31/03/2016,N/D
2014-2015,01T2016,20,Desarrollo Social,INDESOL,Instituto Nacional de Desarrollo Social,S070,Programa de Coinversión Social,CONEVAL,2014,Otros Informes Externos,20s070cie14_02,Elaborar un documento que describa el método y las consideraciones para el cálculo de las metas de los indicadores de la MIR del PCS,No,Específico,Indicadores,Adiciona,Alta,100,31/03/2016,N/D
2012-2013,03T2015,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S071,Programa de Empleo Temporal (PET),CONEVAL,2011,Evaluación de Consistencia y Resultados,20s071pcr11_01,Garantizar la representatividad estadística y la confiabilidad de la información utilizada para el reporte de indicadores a nivel de Fin de la Matriz de Indicadores para Resultados,No,Institucional,Indicadores,Adiciona,Media,100,30/09/2015,N/D
2014-2015,01T2016,20,Desarrollo Social,CNP,Coordinación Nacional de PROSPERA Programa de Inclusión Social,S072,Programa PROSPERA Programa de Inclusión Social,CONEVAL,2014,Otros Informes Externos,20s072cie14_06,"Presentación y gestión del tema de embarazo temprano adolescente como elemento que afecta la continuidad en los estudios ante el Subcomité Técnico de Salud, así como mayor promoción del tema entre la población PROSPERA.",Si,Específico,Planeación,Adiciona,Baja,100,31/03/2016,N/D
2014-2015,01T2016,20,Desarrollo Social,CNP,Coordinación Nacional de PROSPERA Programa de Inclusión Social,S072,Programa PROSPERA Programa de Inclusión Social,CONEVAL,2014,Otros Informes Externos,20s072cie14_10,"Revisión y gestión ante el Subcomité Técnico de Salud el aseguramiento de la cobertura universal en protección en salud de los jóvenes, considerando que es una población ya identificada.",Si,Específico,Planeación,Adiciona,Media,100,31/03/2016,N/D
2012-2013,03T2015,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S174,Programa de estancias infantiles para apoyar a madres trabajadoras,CONEVAL,2012,Evaluación de Consistencia y Resultados,20s174pcr12_01,"Ampliar el modelo de difusión del Programa a través del reforzamiento en el uso de materiales visuales y auditivos que permita llegar a población con discapacidad visual o auditiva, así como población analfabeta.",No,Específico,Coberturas,Adiciona,Media,100,30/09/2015,N/D
2013-2014,03T2015,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S176,Pensión para Adultos Mayores,CONEVAL,2013,Evaluación Específica de Desempeño,20s176ped13_01,Diseñar herramientas de control para los apoyos no monetarios del programa,No,Específico,Operación,Adiciona,Media,100,30/09/2015,N/D
2012-2013,03T2015,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S216,Programa para el Desarrollo de Zonas Prioritarias,CONEVAL,2011,Evaluación de Consistencia y Resultados,20s216pcr11_01,"Estandarizar los procedimientos de los operadores del Programa en las Delegaciones de la SEDESOL para el registro y recepción de las solicitudes de apoyo, para la selección de los beneficiarios y para el procedimiento de entrega de apoyos del Programa",No,Específico,Operación,Adiciona,Alta,100,30/09/2015,N/D
2012-2013,03T2015,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S216,Programa para el Desarrollo de Zonas Prioritarias,CONEVAL,2012,Evaluación de Consistencia y Resultados,20s216pcr12_02,Mejorar el mecanismo de seguimiento físico de la ejecución de las obras y acciones realizadas por el PDZP para asegurar la representatividad de los resultados,No,Institucional,Operación,Adiciona,Alta,100,30/09/2015,N/D
2013-2014,03T2015,20,Desarrollo Social,SEDESOL,Secretaría de Desarrollo Social,S216,Programa para el Desarrollo de Zonas Prioritarias,CONEVAL,2013,Evaluación de Procesos,20s216ppr13_01,Elaborar un manual operativo así como las guías de operación que detallen los procedimientos específicos y generales del PDZP.,No,Institucional,Operación,Adiciona,Alta,100,30/09/2015,N/D
2014-2015,01T2016,20,Desarrollo Social,IMJUVE,Instituto Mexicano de la Juventud,U008,Subsidios a programas para jóvenes,CONEVAL,2014,Otros Informes Externos,20u008cie14_01,Elaborar un documento que contenga la metodología y los instrumentos para medir el grado de satisfacción de la población atendida por el Programa U008,Si,Institucional,Evaluación,Adiciona,Media,100,31/03/2016,N/D
