CICLO_PAE,ID_EVALUACION,ID_RAMO,DESC_RAMO,MODALIDAD_PP,DESC_PP,TIPO_EVALUACION,EVALUADOR,COSTOS,CICLO_CONCLUSION ,URL_EVALUACION
Complementaria,06s010cpr13,6,Hacienda y Crédito Público,s010,Fortalecimiento a la Transversalidad de la Perspectiva de Género,Procesos,"Estudios y Estrategias para el Desarrollo y la Equidad, EPADEQ, S.C.",825000.00,2013,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2013/06s010cpr13.zip
Complementaria,06s177cdi08,6,Hacienda y Crédito Público,s177,Programa de esquema de financiamiento y subsidio federal para vivienda,Diseño,"GEA Grupo de Economistas y Asociados, S.C.",505760.00,2008,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2008/06s177cdi08.zip
Complementaria,06s239cdi13,6,Hacienda y Crédito Público,s239,Acciones para la igualdad de género con población indígena,Diseño,Universidad Autónoma del Estado de Hidalgo,96280.00,2013,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2013/06s239cdi13.zip
Complementaria,06u001ced11,6,Hacienda y Crédito Público,u001,Fomento a la producción de vivienda en las Entidades Federativas y Municipios,Específica de desempeño,"El Colegio de México, A.C.",81547.50,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/06u001ced11.pdf
Complementaria,08s088cdi15,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",s088,Programa de Apoyo para la Productividad de la Mujer Emprendedora,Diseño,Instituto Interamericano de Cooperación para la Agricultura (IICA),135000.00,2015,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2015/08s088cdi15.zip
Complementaria,08s089cdi15,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",s089,Fondo para el Apoyo a Proyectos Productivos en Núcleos Agrarios (FAPPA),Diseño,Instituto Interamericano de Cooperación para la Agricultura (IICA),135000.00,2015,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2015/08s089cdi15.zip
Complementaria,08s195ced11,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",s195,Uso Sustentable de Recursos Naturales para la Producción Primaria,Específica de desempeño,"El Colegio de México, A.C.",83000.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/08s195ced11.zip
Complementaria,08u017ccr12,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",u017,Sistema Nacional de Información para el Desarrollo Sustentable (Coejercicio SNIDRUS),Consistencia y Resultados,"Centro de Investigación y Docencia Económicas, A.C.",700000.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/08u017ccr12.pdf
Complementaria,09e022cdi15,9,Comunicaciones y Transportes,e022,Operación y Conservación de infraestructura ferroviaria,Diseño,Universidad Nacional Autónoma de México,970000.00,2015,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2015/09e022cdi15.pdf
Complementaria,10e005cpr11,10,Economía,e005,Prevención y corrección de prácticas abusivas en las relaciones de consumo entre consumidores y proveedores,Procesos,Universidad Nacional Autónoma de México,1200000.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/10e005cpr11.zip
Complementaria,10e007cdi10,10,Economía,e007,"Producción de información, sobre productos y servicios geológicos del territorio nacional",Diseño,Instituto Tecnológico Autónomo de México,ND,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/10e007cdi10.zip
Complementaria,10s016cim10,10,Economía,s016,Fondo de Microfinanciamiento a Mujeres Rurales (FOMMUR),Impacto,"Facultad de Ciencias Políticas y Sociales, UNAM",117867.66,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/10s016cim10.zip
Complementaria,10s020cdi14,10,Economía,s020,Fondo Nacional Emprendedor,Diseño,Pablo Cotler Ávalos,95000.00,2014,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2014/10s020cdi14.pdf
Complementaria,10s020ced15,10,Economía,s020,Fondo Nacional Emprendedor,Específica de Desempeño,Vicente de Jesús Cell Reyes,95000.00,2015,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2015/10s020ced15.zip
Complementaria,10s021cim10,10,Economía,s021,Programa Nacional de Financiamiento al Microempresario,Impacto,"Facultad de Ciencias Políticas y Sociales, UNAM",117866.66,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/10s021cim10.zip
Complementaria,10u005cdi11,10,Economía,u005,Fondo Sectorial de Innovación,Diseño,"Centro de Estudios de Competitividad del Instituto Tecnológico Autónomo de México, CEC-ITAM",74000.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/10u005cdi11.zip
Complementaria,11s108c0010,11,Educación Pública,s108,Programa Becas de apoyo a la Educación Básica de Madres Jóvenes y Jóvenes Embarazadas,Complementaria,"Centro Regional de Investigaciones Multidisciplinarias, UNAM",99666.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/11s108c0010.pdf
Complementaria,11s128cpr11,11,Educación Pública,s128,Programa Nacional de Lectura,Procesos,Universidad Autónoma Metropolitana,907700.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/11s128cpr11.pdf
Complementaria,11s221ced10,11,Educación Pública,s221,Programa Escuelas de Tiempo Completo,Específica de desempeño,"CÍVICUS, Consultores en Gestión Pública y Social",140000.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/11s221ced10.zip
Complementaria,11s222ced10,11,Educación Pública,s222,Programa de Escuela Segura,Específica de desempeño,"CÍVICUS, Consultores en Gestión Pública y Social",140000.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/11s222ced10.zip
Complementaria,11s227cdi12,11,Educación Pública,s227,"Programa de Fortalecimiento de Comunidades Escolares de Aprendizaje, Concursable",Diseño,Karina Caballero Güendulain,179916.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/11s227cdi12.zip
Complementaria,11s235cdi12,11,Educación Pública,s235,Programa Integral de Fortalecimiento Institucional,Diseño,César Alfonso Velázquez Guadarrama,232000.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/11s235cdi12.zip
Complementaria,11s238cdi11,11,Educación Pública,s238,Polideportivos,Diseño,"Ahumada Lobo y Asociados, S.A. de C.V.",364982.40,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/11s238cdi11.pdf
Complementaria,11u006ced11,11,Educación Pública,u006,Subsidios federales para organismos descentralizados estatales,Específica de desempeño,César Alfonso Velázquez Guadarrama,140000.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/11u006ced11.zip
Complementaria,11u008ced11,11,Educación Pública,u008,Fondo de Apoyo para Saneamiento Financiero de las UPES por Abajo de la Media Nacional en Subsidio por Alumno (Fondo de concurso para propuestas de saneamiento financiero),Específica de desempeño,César Alfonso Velázquez Guadarrama,100000.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/11u008ced11.zip
Complementaria,11u018cdi10,11,Educación Pública,u018,Programa de becas,Diseño,"Centro de Investigación y Docencia Económicas, A.C.",96666.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/11u018cdi10.zip
Complementaria,11u028cim12,11,Educación Pública,u028,Programa de becas,Impacto,"Centro de Investigación y Docencia Económicas, A.C.",18000000.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/11u028cim12.zip
Complementaria,11u032cdi12,11,Educación Pública,u032,Atención Educativa a Grupos en Situación vulnerable en Educación Básica,Diseño,Aurora Loyo Brambila,200000.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/11u032cdi12.zip
Complementaria,11u046cdi12,11,Educación Pública,u046,Programa de Apoyo a la Formación Profesional y Proyecto de Fundación Educación Superior-Empresa (ANUIES),Diseño,"Valora Consultoría, S.C.",100000.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/11u046cdi12.zip
Complementaria,11u051cdi12,11,Educación Pública,u051,Fondo para la consolidación de las Universidades Interculturales,Diseño,"Valora Consultoría, S.C.",100000.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/11u051cdi12.zip
Complementaria,11u066cdi12,11,Educación Pública,u066,Fondo para la atención de problemas estructurales de las UPES,Diseño,César Alfonso Velázquez Guadarrama,232000.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/11u066cdi12.zip
Complementaria,11u067cdi12,11,Educación Pública,u067,Fondo para elevar la calidad de la educación superior,Diseño,César Alfonso Velázquez Guadarrama,140000.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/11u067cdi12.zip
Complementaria,11u068cdi12,11,Educación Pública,u068,Fondo para ampliar y diversificar la oferta educativa en educación superior,Diseño,César Alfonso Velázquez Guadarrama,232000.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/11u068cdi12.zip
Complementaria,12e010cdi10,12,Salud,e010,Formación de recursos humanos especializados para la salud (Hospitales),Diseño,"Investigación en Salud y Demografía, S. C.",67144.19,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/12e010cdi10.pdf
Complementaria,12e010ced11,12,Salud,e010,Formación de recursos humanos especializados para la salud (Hospitales),Específica de desempeño,Antonio Carlos Martín del Campo Rodríguez,67144.19,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/12e010ced11.zip
Complementaria,12e022cdi10,12,Salud,e022,Investigación y desarrollo tecnológico en salud,Diseño,"Investigación en Salud y Demografía, S. C.",67144.19,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/12e022cdi10.pdf
Complementaria,12e023cdi10,12,Salud,e023,Prestación de servicios en los diferentes niveles de atención a la salud,Diseño,"Investigación en Salud y Demografía, S. C.",82929.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/12e023cdi10.pdf
Complementaria,12e023ced11,12,Salud,e023,Prestación de servicios en los diferentes niveles de atención a la salud,Específica de desempeño,Instituto Nacional de Salud Pública,82929.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/12e023ced11.zip
Complementaria,12e036ced11,12,Salud,e036,Reducción de enfermedades prevenibles por vacunación,Específica de desempeño,Instituto Nacional de Salud Pública,82929.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/12e036ced11.zip
Complementaria,12g004c0008,12,Salud,g004,Protección contra Riesgos Sanitarios (Ejercicio Fiscal Evaluado 2008),Complementaria,"Colegio de Sonora, A.C.",1856000.00,2008,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2008/12g004c0008.pdf
Complementaria,12p019cdi10,12,Salud,p019,Prevención contra la obesidad,Diseño,"Analítica Consultores Asociados, S. C",ND,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/12p019cdi10.pdf
Complementaria,12s037c0009,12,Salud,s037,Programa Comunidades Saludables,Complementaria,"LEXIA Investigación Cualitativa,  S.A. de C.V.",138475.00,2009,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2009/12s037c0009.zip
Complementaria,12s037c0010,12,Salud,s037,Programa Comunidades Saludables,Complementaria,"LEXIA Investigación Cualitativa,  S.A. de C.V.",138475.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/12s037c0010.pdf
Complementaria,12s037ced11,12,Salud,s037,Programa Comunidades Saludables,Específica de desempeño,Antonio Carlos Martín del Campo Rodríguez,138475.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/12s037ced11.zip
Complementaria,12s200c0007,12,Salud,s200,Programa Caravanas de la Salud (PCS),Complementaria,Universidad Autónoma Metropolitana,138475.00,2007,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2007/12s200c0007.pdf
Complementaria,12s200c0009,12,Salud,s200,Caravanas de la Salud,Complementaria,"Benemérita Universidad Autónoma de Puebla, BUAP",138475.00,2009,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2009/12s200c0009.pdf
Complementaria,12s200c0010,12,Salud,s200,Caravanas de la Salud,Complementaria,Facultad de Medicina. UNAM,138475.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/12s200c0010.pdf
Complementaria,12s200c0011,12,Salud,s200,Caravanas de la Salud,Complementaria,Facultad de Medicina. UNAM,138475.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/12s200c0011.pdf
Complementaria,12s200c0012,12,Salud,s200,Programa Caravanas de la Salud (PCS),Complementaria,Facultad de Medicina. UNAM,138475.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/12s200c0012.pdf
Complementaria,12s200c0013,12,Salud,s200,Caravanas de la Salud,Complementaria,"Universidad Intercultural del Estado de México, UICEM",138475.00,2013,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2013/12s200c0013.zip
Complementaria,12s201cdi08,12,Salud,s201,Seguro Médico para una Nueva Generación,Diseño,"Hospital Infantil de México ""Federico Gómez""",138475.00,2008,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2008/12s201cdi08.zip
Complementaria,12s202c0010,12,Salud,s202,Sistema Integral de Calidad en Salud,Complementaria,Facultad de Medicina. UNAM,138475.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/12s202c0010.pdf
Complementaria,12s202c0011,12,Salud,s202,Sistema Integral de Calidad en Salud,Complementaria,Universidad Autónoma Metropolitana,138475.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/12s202c0011.zip
Complementaria,12s202c0012,12,Salud,s202,Sistema Integral de Calidad en Salud,Complementaria,Universidad Autónoma Metropolitana,138475.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/12s202c0012.zip
Complementaria,12U005c0007,12,Salud,U005,Seguro Popular,Complementaria,Instituto Nacional de Salud Pública,138475.00,2007,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2007/12U005c0007.pdf
Complementaria,12u005c0009,12,Salud,u005,Seguro Popular,Complementaria,Instituto Nacional de Salud Pública,138475.00,2009,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2009/12u005c0009.pdf
Complementaria,12u005c0010,12,Salud,u005,Seguro Popular,Complementaria,Instituto Nacional de Salud Pública,138475.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/12u005c0010.zip
Complementaria,12u005c0011,12,Salud,u005,Seguro Popular,Complementaria,Instituto Nacional de Salud Pública,138475.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/12u005c0011.zip
Complementaria,12u005c0012,12,Salud,u005,Seguro Popular,Complementaria,Instituto Nacional de Salud Pública,138475.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/12u005c0012.zip
Complementaria,12u005c0013,12,Salud,u005,Seguro Popular,Complementaria,Instituto Nacional de Salud Pública,138475.00,2013,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2013/12u005c0013.zip
Complementaria,12u005ced10,12,Salud,u005,Seguro Popular,Específica de desempeño,Instituto Nacional de Salud Pública,138475.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/12u005ced10.zip
Complementaria,14s043cim10,14,Trabajo y Previsión Social,s043,Programa de Apoyo al Empleo (PAE),Impacto,"El Colegio de México, A.C.",129920.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/14s043cim10.pdf
Complementaria,14s043cim15,14,Trabajo y Previsión Social,s043,Programa de Apoyo al Empleo (PAE),Impacto,"Analítica Consultores Asociados, S. C",129920.00,2015,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2015/14s043cim15.rar
Complementaria,14u002ced10,14,Trabajo y Previsión Social,u002,Programa de Apoyo para la Productividad,Específica de desempeño,"El Colegio de México, A.C.",129920.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/14u002ced10.zip
Complementaria,15f002c0011,15,"Desarrollo Agrario, Territorial y Urbano",f002,Fomento al desarrollo agrario,Complementaria,FAO,1689450.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/15f002c0011.zip
Complementaria,15f002c0013,15,"Desarrollo Agrario, Territorial y Urbano",f002,Fomento al desarrollo agrario,Complementaria,FAO,1689450.00,2013,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2013/15f002c0013.pdf
Complementaria,15f002c0014,15,"Desarrollo Agrario, Territorial y Urbano",f002,Fomento al desarrollo agrario,Complementaria,FAO,1689450.00,2014,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2014/15f002c0014.pdf
Complementaria,15s088c0011,15,"Desarrollo Agrario, Territorial y Urbano",s088,Programa de la Mujer en el Sector Agrario (PROMUSAG),Complementaria,FAO,114900.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/15s088c0011.pdf
Complementaria,15s088c0014,15,"Desarrollo Agrario, Territorial y Urbano",s088,Programa de Apoyo para la Productividad de la Mujer Emprendedora,Complementaria,FAO,114900.00,2014,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2014/15s088c0014.pdf
Complementaria,15s089c0011,15,"Desarrollo Agrario, Territorial y Urbano",s089,Fondo de Apoyo para Proyectos Productivos (FAPPA),Complementaria,FAO,114900.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/15s089c0011.pdf
Complementaria,15s089c0014,15,"Desarrollo Agrario, Territorial y Urbano",s089,Fondo para el Apoyo a Proyectos Productivos en Núcleos Agrarios (FAPPA),Complementaria,FAO,114900.00,2014,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2014/15s089c0014.pdf
Complementaria,15s203c0011,15,"Desarrollo Agrario, Territorial y Urbano",s203,Joven Emprendedor Rural y Fondo de Tierras,Complementaria,FAO,135000.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/15s203c0011.pdf
Complementaria,15s203c0013,15,"Desarrollo Agrario, Territorial y Urbano",s203,Joven Emprendedor Rural y Fondo de Tierras,Complementaria,FAO,135000.00,2013,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2013/15s203c0013.pdf
Complementaria,15s203c0014,15,"Desarrollo Agrario, Territorial y Urbano",s203,Programa de Apoyo a Jóvenes para la Productividad de Futuras Empresas Rurales,Complementaria,FAO,135000.00,2014,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2014/15s203c0014.pdf
Complementaria,16e005c0013,16,Medio Ambiente y Recursos Naturales,e005,ProÁrbol - Capacitación Ambiental y Desarrollo Sustentable,Complementaria,"Centro de Investigaciones y Estudios Superiores en Antropología Social, CIESAS",299280.00,2013,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2013/16e005c0013.pdf
Complementaria,16e006cdi11,16,Medio Ambiente y Recursos Naturales,e006,Manejo Integral del Sistema Hidrológico,Diseño,Víctor Aguilar Hernández,116000.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/16e006cdi11.zip
Complementaria,16e013c0011,16,Medio Ambiente y Recursos Naturales,e013,ProÁrbol - Prevención y Combate de Incendios Forestales,Complementaria,Universidad Autónoma Chapingo,ND,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/16e013c0011.zip
Complementaria,16e013cdi09,16,Medio Ambiente y Recursos Naturales,e013,ProÁrbol - Prevención y Combate de Incendios Forestales,Diseño,Instituto Politécnico Nacional,ND,2009,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2009/16e013cdi09.pdf
Complementaria,16e014c0014,16,Medio Ambiente y Recursos Naturales,e014,ProÁrbol - Protección Forestal,Complementaria,Universidad Autónoma Chapingo,3660700.13,2014,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2014/16e014c0014.zip
Complementaria,16e017cdi10,16,Medio Ambiente y Recursos Naturales,e017,Servicio Meteorológico Nacional,Diseño,Sergio Macías Nava,150000.00,2010,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2010/16e017cdi10.pdf
Complementaria,16g001cdi11,16,Medio Ambiente y Recursos Naturales,g001,Administración Sustentable del Agua,Diseño,Jaime Collado,174000.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/16g001cdi11.pdf
Complementaria,16g021cdi12,16,Medio Ambiente y Recursos Naturales,g021,Registro Público de Derechos del Agua.,Diseño,Agustín Félix Villavicencio,98600.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/16g021cdi12.pdf
Complementaria,16g024cdi12,16,Medio Ambiente y Recursos Naturales,g024,"Inspección, medición y calificación de infracciones.",Diseño,Ana María Cáliz Cecilia,98600.00,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/16g024cdi12.pdf
Complementaria,16g025cdi11,16,Medio Ambiente y Recursos Naturales,g025,Recaudación y fiscalización.,Diseño,Jaime Collado,138156.00,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/16g025cdi11.pdf
Complementaria,16k111cdi13,16,Medio Ambiente y Recursos Naturales,k111,Conservación y Operación de Presas y Estructuras de Cabeza,Diseño,Jorge Carlos Saavedra Shimidzu,171680.00,2013,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2013/16k111cdi13.pdf
Complementaria,16k132cdi13,16,Medio Ambiente y Recursos Naturales,k132,Infraestructura de temporal.,Diseño,Gerardo Lugo García,92800.00,2013,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2013/16k132cdi13.zip
Complementaria,16p001cdi13,16,Medio Ambiente y Recursos Naturales,p001,Conducción de las políticas hídricas,Diseño,Víctor Aguilar Hernández,120000.00,2013,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2013/16p001cdi13.pdf
Complementaria,16s044c0012,16,Medio Ambiente y Recursos Naturales,s044,ProÁrbol - Programa de Desarrollo y Producción Forestal,Complementaria,Universidad Autónoma Chapingo,219991.53,2012,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2012/16s044c0012.zip
Complementaria,16s045c0011,16,Medio Ambiente y Recursos Naturales,s045,ProÁrbol - Programa de Plantaciones Forestales Comerciales (PRODEPLAN),Complementaria,Universidad Autónoma Chapingo,83348.90,2011,www.transparenciapresupuestaria.gob.mx/work/models/PTP/programas/sed/evaluaciones/2011/16s045c0011.zip
